sku,p_type,weight
	2610210386611,单属性,49.0
	1610220047811,单属性,3115.0
	1610210088711,单属性,488.0
	1610210065611,单属性,1950.0
	2610210247613,多属性,74.0
	2511210112811,单属性,65.0
	1619210084911,单属性,677.0
	2610210249911,单属性,71.0
	1610210107211,单属性,1260.0
	2610210247612,多属性,68.0
	1610210065111,单属性,1228.0
	1610200031611,单属性,532.0
	2613220108411,单属性,400.0
	1610210120811,单属性,330.0
XD07540,单属性,656.0
	1610200112411,单属性,1996.0
	2613220065611,多属性,54.0
	1610200084311,单属性,129.0
	2610210250211,单属性,79.0
	2610210247911,单属性,62.0
	2610210390311,单属性,61.0
	2610210391411,单属性,191.0
	2610210390511,单属性,62.0
	2610210248211,单属性,64.0
	2610210247616,多属性,64.0
	1610210121311,单属性,348.0
QC17616-01,多属性,796.0
	1610200027711,单属性,541.0
	1610200004511,单属性,1700.0
	1610200114111,单属性,564.0
	1610200026811,单属性,445.0
	1610190054711,单属性,1165.0
	2610220022611,单属性,586.0
	1610210041611,单属性,1923.0
	1610200054111,单属性,393.0
	1610210041811,单属性,2412.0
	1610200071011,单属性,3193.0
	1619220055811,单属性,664.0
	1618220447911,单属性,437.0
	1618220041311,单属性,257.0
	1616210186811,单属性,143.0
	1618210471611,多属性,176.0
	1615210045111,单属性,268.0
	1618220084511,单属性,45.0
	1618210263211,单属性,1252.0
	1614220029712,多属性,248.0
	1618210002311,单属性,137.0
	1618210471612,多属性,176.0
	1618220415011,单属性,393.0
QC33648-01,多属性,308.0
QC33652-01,多属性,335.0
	1614200085811,单属性,323.0
	1614190024011,单属性,1000.0
	1614210127411,单属性,350.0
	1615220000211,单属性,1083.0
	1618200067811,单属性,785.0
	1618210427011,单属性,126.0
	1618210427111,单属性,165.0
	1618220115211,单属性,1853.0
	1618220115311,单属性,1232.0
	1618220133911,单属性,1191.0
	1611220034811,单属性,264.0
	1611210096511,单属性,173.0
	1611210097511,单属性,348.0
	1611210043411,单属性,395.0
	1611220032811,单属性,138.0
	1611220034211,单属性,322.0
	1610210042911,单属性,177.0
	1611220034611,单属性,250.0
	1611220035311,单属性,291.0
	1614220007011,多属性,1000.0
	1611210098311,单属性,200.0
	1611210098411,单属性,411.0
	1611220032711,单属性,174.0
	1611210098211,单属性,168.0
	1611210098011,单属性,177.0
	1611210096211,单属性,181.0
	1611210097411,单属性,341.0
	1611210098111,单属性,210.0
	1611210097711,单属性,238.0
	1611230007011,单属性,100.0
	1614220007311,单属性,1000.0
	1611220032911,单属性,338.0
QC37932,单属性,126.0
	1610200078811,单属性,246.0
	1615210056711,单属性,58.0
	1616220219111,单属性,421.0
	1616200162014,多属性,149.0
	1616200162012,多属性,140.0
	1616210075011,多属性,173.0
	1616220147311,多属性,514.0
	1616210075313,多属性,222.0
	1616210074313,多属性,210.0
	1616230030411,多属性,195.0
	1616210074311,多属性,224.0
	1616210076113,多属性,162.0
	1616210076112,多属性,160.0
	1616210075012,多属性,189.0
	1616210374211,单属性,154.0
	1612210007711,单属性,100.0
	1612210031211,多属性,42.0
	1616220147511,单属性,259.0
	1615200000114,多属性,160.0
	1616210074611,多属性,164.0
	1616210074013,多属性,207.0
	1616210075513,多属性,211.0
	1616210323511,单属性,257.0
	1616230011212,多属性,387.0
	1616230030412,多属性,195.0
	1616210074612,多属性,171.0
	1614210161311,单属性,150.0
	1616230011311,多属性,457.0
	1612210031212,多属性,42.0
	1612210012512,多属性,122.0
	1616210388111,单属性,262.0
	1616210075211,多属性,177.0
	1616210075712,多属性,246.0
	1616210074011,多属性,207.0
	1616210075512,多属性,211.0
	1616210075913,多属性,163.0
	1612210012511,多属性,122.0
	1616210074712,多属性,178.0
	1616210074812,多属性,181.0
	1616210074314,多属性,210.0
	1612210025211,多属性,139.0
	1616210075311,多属性,186.0
	1616220182711,单属性,166.0
	1616230011211,多属性,387.0
	1616210074012,多属性,189.0
	1616210074312,多属性,205.0
	1616210075013,多属性,188.0
	1616210074711,多属性,178.0
	1616210075911,多属性,170.0
	1616230012411,单属性,270.0
	1616210075212,多属性,196.0
	1616210075912,多属性,160.0
	1616220188311,单属性,136.0
	1616200162011,多属性,209.0
	1618210114211,单属性,105.0
	1618190118611,单属性,90.0
	1618190084111,单属性,100.0
	1618210172411,单属性,50.0
	1616220079611,单属性,80.0
	1616210362411,单属性,99.0
	1618210112611,单属性,17.0
	1618210101711,单属性,20.0
	1618190082911,单属性,100.0
	1618210172611,单属性,24.0
	1618190171911,单属性,97.0
	1618190110811,单属性,23.0
	1618190177911,单属性,80.0
	1614220005311,单属性,45.0
	1618210205311,单属性,165.0
	1613200021411,单属性,150.0
	1618190086511,单属性,100.0
	1618190082411,单属性,180.0
QC10576,单属性,38.0
	1618220242211,单属性,300.0
	1616210084611,单属性,42.0
QC15578,单属性,94.0
	1618210098911,单属性,27.0
	1618190112511,单属性,25.0
	1618190098511,单属性,100.0
	1616210090611,单属性,53.0
	1618220168211,单属性,100.0
	1618200092711,单属性,145.0
	1618210112811,单属性,40.0
	1618200093011,单属性,147.0
	1618190164811,单属性,115.0
	1618210076211,单属性,100.0
	1618190150511,单属性,53.0
	1618210112911,单属性,64.0
	1618210107211,单属性,41.0
	1618200238311,单属性,24.0
	1618200043111,单属性,230.0
	1618220064511,单属性,68.0
	1616220171211,单属性,33.0
	1618190178111,单属性,80.0
	1618220242511,单属性,12.0
	1619220146011,单属性,291.0
	1618220283611,单属性,118.0
	1618200234711,单属性,123.0
	1616200190911,单属性,20.0
	1618220177911,单属性,362.0
	1618220267011,单属性,100.0
	1618220185911,单属性,1000.0
	1619220152311,单属性,300.0
	1618190147411,单属性,48.0
	1610220096211,单属性,200.0
QC27608,单属性,101.0
	1618190082111,单属性,100.0
	1618210005411,单属性,1018.0
